,name,course_interest,date,financial_support_self,geo_flex,result,self_development
374,Robers Gentner,Data,09/07/2019,Yes,Yes,Fail,Yes
375,Kellyann Yorkston,Data,16/07/2019,No,Yes,Fail,Yes
376,Olly Mougenel,Business,16/07/2019,No,Yes,Fail,Yes
377,Merrill Mckie,Business,23/07/2019,Yes,Yes,Pass,Yes
378,Kass Castellan,Engineering,03/07/2019,Yes,Yes,Pass,Yes
379,Marlon Reside,Data,30/07/2019,Yes,Yes,Pass,Yes
380,Oswald Lyndon,Engineering,10/07/2019,Yes,Yes,Pass,Yes
381,Arty Indruch,Business,02/07/2019,Yes,Yes,Pass,Yes
382,Sharl Shambrooke,Engineering,04/07/2019,Yes,Yes,Fail,Yes
383,Antonius Heape,Engineering,17/07/2019,Yes,Yes,Pass,Yes
384,Rad Bench,Data,17/07/2019,Yes,Yes,Pass,Yes
385,Agace O'Shields,Business,30/07/2019,Yes,Yes,Pass,Yes
386,Mela Burgill,Business,09/07/2019,Yes,Yes,Pass,Yes
387,Justis Gilham,Engineering,25/07/2019,Yes,Yes,Pass,Yes
388,Valery Delia,Engineering,24/07/2019,Yes,Yes,Fail,No
389,Kylie Cordell,Business,18/07/2019,Yes,Yes,Pass,Yes
390,Emmett Stogill,Engineering,17/07/2019,No,Yes,Fail,Yes
391,Julianne Neagle,Engineering,09/07/2019,Yes,Yes,Fail,Yes
392,Cobbie Wolfinger,Data,30/07/2019,Yes,Yes,Fail,No
393,Blondy Fearnall,Engineering,04/07/2019,Yes,Yes,Pass,Yes
394,Bowie Endersby,Data,16/07/2019,Yes,Yes,Pass,Yes
395,Andrey Cochran,Data,24/07/2019,Yes,Yes,Pass,Yes
396,Letizia Mckern,Business,04/07/2019,Yes,Yes,Pass,Yes
397,Fons Ghiotto,Engineering,16/07/2019,Yes,Yes,Pass,Yes
398,Sal Inglesent,Data,04/07/2019,Yes,Yes,Pass,Yes
399,Sela Pavese,Business,25/07/2019,Yes,Yes,Fail,Yes
400,Alison Tett,Business,10/07/2019,Yes,Yes,Pass,Yes
401,Gabi Ivins,Business,04/07/2019,Yes,Yes,Pass,Yes
402,Noe Fortnam,Engineering,09/07/2019,Yes,Yes,Pass,Yes
403,Ronny Vasilchenko,Business,23/07/2019,Yes,Yes,Pass,Yes
404,Blair Woollhead,Engineering,18/07/2019,No,Yes,Fail,Yes
405,Henrieta Chatto,Business,04/07/2019,Yes,Yes,Pass,Yes
406,Eba Gary,Engineering,02/07/2019,Yes,Yes,Pass,Yes
407,Marcela Riding,Business,25/07/2019,Yes,Yes,Pass,Yes
408,Hewet Derwin,Engineering,11//07/2019,Yes,Yes,Pass,Yes
409,Demetria O' Sullivan,Data,18/07/2019,Yes,No,Fail,Yes
410,Steffen Marcombe,Business,04/07/2019,Yes,Yes,Pass,Yes
411,Aguste Tann,Business,30/07/2019,Yes,Yes,Pass,Yes
412,D'Arcy Bover,Engineering,02/07/2019,Yes,Yes,Pass,Yes
413,Chadd Klampt,Engineering,03/07/2019,Yes,Yes,Pass,Yes
414,Pren Varcoe,Engineering,30/07/2019,Yes,Yes,Fail,No
415,Abraham Rockell,Engineering,02/07/2019,Yes,Yes,Pass,Yes
416,Laurette Hembling,Data,09/07/2019,Yes,Yes,Fail,No
417,Karlis Bottle,Business,18/07/2019,No,Yes,Fail,No
418,Wilhelm Jouanet,Data,11/07/2019,Yes,Yes,Pass,Yes
419,Peterus Bartolomeazzi,Business,25/07/2019,Yes,Yes,Fail,Yes
420,Bari Streatfield,Business,11/07/2019,Yes,Yes,Pass,Yes
421,Teriann Matyashev,Business,04/07/2019,Yes,Yes,Pass,Yes
422,Uriel Eidelman,Business,10/07/2019,Yes,Yes,Pass,Yes
423,Toddie Rubanenko,Data,03/07/2019,Yes,Yes,Pass,Yes
424,Drake Northcote,Engineering,10/07/2019,No,Yes,Fail,Yes
425,Engracia Andriolli,Engineering,30/07/2019,Yes,No,Fail,Yes
426,Cristina Finlan,Business,31/07/2019,Yes,Yes,Pass,Yes
427,Markos Walter,Data,16/07/2019,Yes,Yes,Pass,Yes
428,Ofilia Keizman,Business,17/07/2019,Yes,Yes,Pass,Yes
429,Chev Spillane,Engineering,02/07/2019,Yes,Yes,Pass,Yes
430,Beauregard Cornehl,Business,02/07/2019,Yes,Yes,Pass,Yes
431,Barclay Morter,Business,30/07/2019,Yes,Yes,Fail,No
432,Clary Hertwell,Business,30/07/2019,Yes,Yes,Fail,No
433,Jessy Dollman,Data,09/07/2019,Yes,Yes,Pass,Yes
434,Sibyl Gilardi,Business,03/07/2019,Yes,Yes,Fail,Yes
435,Haywood Teager,Engineering,03/07/2019,Yes,Yes,Pass,Yes
436,Doretta Henner,Business,18/07/2019,Yes,Yes,Pass,Yes
437,Niall Graine,Business,04/07/2019,Yes,Yes,Pass,Yes
438,Karel Toulamain,Data,10/07/2019,Yes,Yes,Fail,No
439,Iosep Idle,Data,03/07/2019,Yes,Yes,Pass,Yes
440,Duky Shailer,Data,02/07/2019,No,Yes,Fail,No
441,Christie Blincoe,Business,31/07/2019,Yes,Yes,Pass,Yes
442,Rik Waren,Data,11/07/2019,Yes,Yes,Pass,Yes
443,Zelda Prestage,Business,10/07/2019,Yes,Yes,Fail,Yes
444,Dannel Longmaid,Engineering,18/07/2019,Yes,Yes,Pass,Yes
445,Ira Grima,Engineering,25/07/2019,Yes,Yes,Fail,No
446,Vivyan Robuchon,Engineering,11/07/2019,Yes,No,Fail,Yes
447,Gardner Estick,Engineering,31/07/2019,Yes,Yes,Pass,Yes
448,Darin Healing,Engineering,04/07/2019,Yes,Yes,Pass,Yes
449,Teena Priel,Business,18/07/2019,No,No,Fail,Yes
450,Katinka Tyt,Data,18/07/2019,Yes,Yes,Pass,Yes
451,Maxy Bensen,Engineering,18/07/2019,Yes,Yes,Pass,Yes
452,Donnie Sandwick,Data,04/07/2019,No,Yes,Fail,Yes
453,Natasha Christol,Data,31/07/2019,Yes,Yes,Fail,No
454,Scarlett Roarty,Data,23/07/2019,Yes,Yes,Pass,Yes
455,Hurlee Hesey,Engineering,25/07/2019,No,Yes,Fail,Yes
456,Yehudit Killingbeck,Engineering,30/07/2019,No,Yes,Fail,Yes
457,Riannon Baraclough,Business,31/07/2019,Yes,Yes,Pass,Yes
458,Shay Obee,Business,11/07/2019,Yes,Yes,Pass,Yes
459,Collete Causbey,Business,03/07/2019,Yes,Yes,Pass,Yes
460,Tallia Rushford,Data,31/07/2019,No,Yes,Fail,Yes
461,Angelica Neissen,Business,31/07/2019,Yes,Yes,Fail,Yes
462,Merwyn Gossop,Business,18/07/2019,Yes,Yes,Pass,Yes
463,Luca Gokes,Data,09/07/2019,Yes,Yes,Fail,No
464,Judon Henze,Engineering,10/07/2019,Yes,Yes,Pass,Yes
465,Mirilla Bottinelli,Data,16/07/2019,Yes,Yes,Pass,Yes
466,Mirilla Bottinelli,Data,16/07/2019,Yes,Yes,Pass,Yes
467,Cordie Duckering,Business,25/07/2019,Yes,Yes,Pass,Yes
468,Dorian Hamshar,Business,09/07/2019,Yes,Yes,Pass,Yes
469,Anet Satterley,Business,30/07/2019,Yes,Yes,Pass,Yes
470,Stanislaus Sendley,Engineering,30/07/2019,Yes,Yes,Pass,Yes
471,Patrizia Wyre,Business,17/07/2019,Yes,Yes,Pass,Yes
472,Rodolfo Garret,Data,16/07/2019,Yes,Yes,Pass,Yes
473,Waverley Deacock,Engineering,02/07/2019,Yes,Yes,Pass,Yes
474,Langston Adamski,Engineering,31/07/2019,Yes,Yes,Pass,Yes
475,Annabela Brackenridge,Engineering,23/07/2019,Yes,Yes,Pass,Yes
476,Amerigo Heys,Engineering,31/07/2019,Yes,Yes,Pass,Yes
477,Sorcha Argue,Data,02/07/2019,Yes,Yes,Pass,Yes
478,Miguelita Smedley,Data,10/07/2019,Yes,Yes,Pass,Yes
479,Weylin Comolli,Business,10/07/2019,Yes,Yes,Pass,Yes
480,Raimondo Mellodey,Business,24/07/2019,Yes,Yes,Pass,Yes
481,Courtnay Duiged,Business,17/07/2019,No,Yes,Fail,Yes
482,Sarena Weatherill,Business,17/07/2019,No,Yes,Fail,Yes
483,Celina Polley,Data,18/07/2019,Yes,Yes,Pass,Yes
484,Daloris Cotesford,Business,10/07/2019,Yes,Yes,Pass,Yes
485,Natalie Norwich,Data,31/07/2019,Yes,Yes,Pass,Yes
486,Kerstin Couper,Data,23/07/2019,Yes,Yes,Pass,Yes
487,Keen Tripony,Business,03/07/2019,Yes,Yes,Pass,Yes
488,Ody Paroni,Data,18/07/2019,Yes,Yes,Pass,Yes
489,Rodolfo Drillot,Business,03/07/2019,Yes,Yes,Pass,Yes
490,Derward Wyllt,Business,03/07/2019,No,No,Fail,Yes
491,Amil Lidden,Data,09/07/2019,Yes,Yes,Fail,No
492,Salim Sarra,Data,10/07/2019,Yes,Yes,Pass,Yes
493,Horatius Branch,Data,11/07/2019,Yes,Yes,Pass,Yes
494,Frankie Boseley,Engineering,02/07/2019,Yes,Yes,Pass,Yes
495,Bayard Stuckow,Data,09/07/2019,Yes,Yes,Pass,Yes
496,Babita Tabourin,Engineering,18/07/2019,Yes,Yes,Fail,No
497,Job Restall,Data,10/07/2019,Yes,Yes,Pass,Yes
498,Evin De Roeck,Engineering,17/07/2019,Yes,Yes,Pass,Yes
499,Leopold Boichat,Engineering,25/07/2019,Yes,Yes,Pass,Yes
500,Nevil Penhaligon,Engineering,24/07/2019,Yes,Yes,Pass,Yes
501,Thorin Eskriet,Business,10/07/2019,Yes,Yes,Fail,Yes
502,Kathy Capstack,Engineering,18/07/2019,Yes,Yes,Pass,Yes
503,Floris Rizzetti,Engineering,11/07/2019,Yes,Yes,Pass,Yes
504,Ollie Pinniger,Business,09/07/2019,Yes,Yes,Pass,Yes
505,Rancell Lill,Engineering,18/07/2019,Yes,Yes,Pass,Yes
506,Van Chesshyre,Business,09/07/2019,Yes,Yes,Pass,Yes
507,Vivienne Blakelock,Business,10/07/2019,Yes,Yes,Pass,Yes
508,Brad Coleyshaw,Engineering,30/07/2019,Yes,Yes,Pass,Yes
509,Adelaida Pirson,Data,11/07/2019,Yes,Yes,Pass,Yes
510,Alli Ludewig,Engineering,16/07/2019,Yes,Yes,Pass,Yes
511,Elnore Schwandner,Business,16/07/2019,Yes,Yes,Pass,Yes
512,Sandor Swatradge,Business,18/07/2019,Yes,Yes,Fail,Yes
513,Benjamin Chastand,Engineering,31/07/2019,Yes,Yes,Pass,Yes
514,Coleman Martynka,Data,25/07/2019,Yes,Yes,Pass,Yes
515,Alistair Scanes,Engineering,23/07/2019,Yes,Yes,Pass,Yes
516,Gradeigh Hamblin,Engineering,16/07/2019,No,Yes,Fail,Yes
517,Clementine Greedier,Engineering,24/07/2019,Yes,Yes,Pass,Yes
518,Dyna Sange,Engineering,04/07/2019,No,Yes,Fail,Yes
519,Aggie Remmers,Business,30/07/2019,Yes,Yes,Pass,Yes
520,Randie Klimashevich,Data,10/07/2019,Yes,Yes,Pass,Yes
521,Laird Grece,Engineering,17/07/2019,Yes,Yes,Fail,No
522,Abelard Cardenas,Business,09/07/2019,Yes,Yes,Fail,Yes
523,Maje Vallis,Engineering,10/07/2019,Yes,Yes,Pass,Yes
524,Thoma Bolesworth,Data,04/07/2019,Yes,Yes,Pass,Yes
525,Kris Whaley,Business,30/07/2019,Yes,Yes,Fail,No
526,Elsworth Bendtsen,Engineering,31/07/2019,Yes,Yes,Pass,Yes
527,Honor Huntall,Engineering,02/07/2019,Yes,Yes,Pass,Yes
528,Paulina Tear,Business,17/07/2019,Yes,Yes,Fail,No
529,Kirsten Spelman,Data,30/07/2019,Yes,Yes,Pass,Yes
530,Yankee Northing,Data,02/07/2019,Yes,Yes,Pass,Yes
531,Noby Vacher,Business,04/07/2019,No,Yes,Fail,Yes
532,Bevon Detoile,Business,03/07/2019,Yes,Yes,Pass,Yes
533,Weylin Swatradge,Business,03/07/2019,No,Yes,Fail,No
534,Berti Nayer,Data,02/07/2019,Yes,Yes,Pass,Yes
535,Adaline Durtnell,Data,30/07/2019,No,No,Fail,Yes
536,Oralia Chaikovski,Engineering,25/07/2019,Yes,Yes,Fail,No
537,Ester Mcterrelly,Data,11/07/2019,Yes,Yes,Fail,No
538,Lee Bernocchi,Engineering,03/07/2019,Yes,No,Fail,Yes
539,Clarke Cradoc,Engineering,25/07/2019,Yes,Yes,Pass,Yes
540,Dun Kurth,Data,09/07/2019,No,Yes,Fail,Yes
541,Drusy Benny,Data,02/07/2019,Yes,Yes,Pass,Yes
542,Maxie Thairs,Business,03/07/2019,No,Yes,Fail,No
543,Lurline Stirtle,Business,11/07/2019,Yes,Yes,Pass,Yes
544,Marna Matskevich,Business,30/07/2019,Yes,Yes,Pass,Yes
545,Ara Loggie,Data,02/07/2019,Yes,Yes,Pass,Yes
546,Brewer Calderbank,Engineering,16/07/2019,Yes,Yes,Pass,Yes
547,Eberhard Cattemull,Data,30/07/2019,Yes,Yes,Pass,Yes
548,Tuesday Tasseler,Data,09/07/2019,Yes,Yes,Pass,Yes
549,Brodie Chipperfield,Engineering,24/07/2019,Yes,Yes,Pass,Yes
550,Hill Tiplady,Data,03/07/2019,Yes,Yes,Fail,No
551,Briggs Logsdail,Data,18/07/2019,Yes,No,Fail,Yes
552,Adela Paley,Data,23/07/2019,Yes,Yes,Pass,Yes
553,Meyer Dobbison,Engineering,30/07/2019,No,Yes,Fail,Yes
554,Sherlocke Baselio,Business,02/07/2019,Yes,Yes,Pass,Yes
555,Amalea Ughi,Business,02/07/2019,Yes,Yes,Pass,Yes
556,Julia Taile,Business,02/07/2019,Yes,No,Fail,Yes
557,Eden Chattock,Engineering,09/07/2019,Yes,Yes,Pass,Yes
558,Rois Covey,Business,25/07/2019,Yes,Yes,Fail,Yes
559,Avictor Moorey,Business,17/07/2019,Yes,No,Fail,Yes
560,Regina Calver,Data,31/07/2019,Yes,Yes,Pass,Yes
561,Lonnard O'Neill,Data,18/07/2019,Yes,Yes,Pass,Yes
562,Ardis Staniland,Data,02/07/2019,No,Yes,Fail,Yes
563,Bill Pendlebury,Business,18/07/2019,No,Yes,Fail,Yes
564,Allyce Attwill,Engineering,25/07/2019,Yes,Yes,Pass,Yes
565,Belle Catherall,Data,11/07/2019,Yes,Yes,Pass,Yes
566,Layne Mcaline,Business,25/07/2019,No,Yes,Fail,Yes
567,Ulrikaumeko Bowsher,Data,16/07/2019,Yes,Yes,Pass,Yes
568,Lory Bruckman,Data,11/07/2019,Yes,Yes,Pass,Yes
569,Rufe Devon,Data,11/07/2019,Yes,Yes,Pass,Yes
570,Abbott Dodgshon,Engineering,18/07/2019,Yes,Yes,Pass,Yes
571,Antonie Coram,Data,25/07/2019,Yes,Yes,Pass,Yes
572,Cinnamon Gilkison,Business,09/07/2019,Yes,Yes,Fail,Yes
573,Dewitt Milborn,Data,24/07/2019,Yes,Yes,Pass,Yes
574,Claude Duran,Data,02/07/2019,Yes,No,Fail,Yes
575,Nadya Pineaux,Data,23/07/2019,Yes,Yes,Pass,Yes
576,Nani Measom,Data,25/07/2019,No,Yes,Fail,Yes
577,Ches Wahlberg,Engineering,23/07/2019,Yes,Yes,Pass,Yes
578,Zacherie Beswell,Business,11/07/2019,Yes,Yes,Pass,Yes
579,Karla Windridge,Business,31/07/2019,Yes,No,Fail,Yes
580,Lannie Minister,Data,31/07/2019,Yes,Yes,Pass,Yes
581,Andree Romeo,Business,02/07/2019,Yes,Yes,Pass,Yes
582,Roch De Courcy,Data,09/07/2019,Yes,Yes,Pass,Yes
583,Maggie Dolden,Data,11/07/2019,Yes,Yes,Pass,Yes
584,Gage Feveryear,Business,11/07/2019,Yes,Yes,Pass,Yes
585,Virginia Burdge,Engineering,11/07/2019,Yes,Yes,Fail,No
586,Melodee Crippen,Business,04/07/2019,Yes,Yes,Pass,Yes
587,Raven Derx,Business,24/07/2019,Yes,No,Fail,Yes
588,Joseito Duiged,Business,17//07/2019,Yes,Yes,Pass,Yes
589,Merline Rickell,Engineering,23/07/2019,Yes,Yes,Pass,Yes
590,Vina Flott,Data,16/07/2019,No,Yes,Fail,Yes
591,Hastie Hantusch,Engineering,17/07/2019,Yes,Yes,Fail,No
592,Ines Plaschke,Data,24/07/2019,No,Yes,Fail,Yes
593,Burnaby Mackay,Business,17/07/2019,Yes,Yes,Fail,Yes
594,Linc Ridgway,Engineering,17/07/2019,Yes,No,Fail,Yes
595,Darcy Handrahan,Data,09/07/2019,No,Yes,Fail,Yes
596,Towny Povall,Data,31/07/2019,Yes,No,Fail,Yes
597,Beauregard Hould,Data,30/07/2019,Yes,Yes,Pass,Yes
598,Joletta Kalinowsky,Business,31/07/2019,Yes,Yes,Pass,Yes
599,Lock Ellerker,Data,04/07/2019,No,Yes,Fail,No
600,Freddie Samber,Data,10/07/2019,Yes,Yes,Pass,Yes
601,Arlette Pickles,Data,11//07/2019,No,Yes,Fail,Yes
602,Simonette Mawson,Data,31/07/2019,Yes,Yes,Pass,Yes
603,Micheal Di Matteo,Data,30/07/2019,Yes,Yes,Pass,Yes
604,Madeleine Brunicke,Data,11/07/2019,No,Yes,Fail,Yes
605,Ashby Capener,Business,18/07/2019,Yes,Yes,Fail,Yes
606,Rachele Bracknell,Data,18/07/2019,Yes,Yes,Pass,Yes
607,Portia Farfalameev,Business,16/07/2019,Yes,Yes,Pass,Yes
608,Grant Kilban,Business,10/07/2019,No,Yes,Fail,Yes
609,Sinclair Bonder,Engineering,11/07/2019,Yes,Yes,Pass,Yes
610,Harmonia Winspare,Engineering,04/07/2019,Yes,Yes,Pass,Yes
611,Milly Ison,Engineering,31/07/2019,Yes,Yes,Pass,Yes
612,Evvy Allcock,Engineering,25/07/2019,Yes,Yes,Pass,Yes
613,Con Haxley,Data,31/07/2019,Yes,Yes,Pass,Yes
614,Bryanty Greenacre,Business,31/07/2019,Yes,Yes,Pass,Yes
615,Vivianne Shills,Data,31/07/2019,Yes,Yes,Pass,Yes
616,Renado Bulfoot,Engineering,31/07/2019,Yes,No,Fail,Yes
617,Sinclair Breissan,Engineering,12/07/2019,Yes,Yes,Fail,No
618,Conn Dobson,Business,18/07/2019,No,Yes,Fail,Yes
619,Nicolle Radford,Business,04/07/2019,Yes,Yes,Pass,Yes
620,Marquita Forrington,Data,20/07/2019,Yes,Yes,Pass,Yes
621,Ingaborg Pitblado,Business,18/07/2019,Yes,Yes,Fail,No
622,Bethanne Este,Business,06/07/2019,Yes,No,Fail,Yes
623,Ingelbert Clench,Data,27/07/2019,Yes,Yes,Pass,Yes
624,Aura Louche,Data,04/07/2019,Yes,Yes,Pass,Yes
625,Cully Seward,Data,05/07/2019,Yes,No,Fail,Yes
626,Lenna Daulby,Engineering,13/07/2019,Yes,Yes,Pass,Yes
627,Billi Narraway,Engineering,18/07/2019,Yes,Yes,Fail,Yes
628,Aurelea Leason,Data,25/07/2019,Yes,Yes,Pass,Yes
629,Lucius Buswell,Engineering,04/07/2019,Yes,Yes,Pass,Yes
630,Esdras Pires,Data,13/07/2019,Yes,No,Fail,Yes
631,Siouxie Rogan,Engineering,11/07/2019,Yes,Yes,Pass,Yes
632,Marchall Pocklington,Engineering,25/07/2019,Yes,Yes,Fail,Yes
633,Granthem Long,Engineering,05/07/2019,Yes,Yes,Pass,Yes
634,Charlean Balston,Data,11/07/2019,Yes,No,Fail,Yes
635,Jimmie Durker,Engineering,06/07/2019,Yes,Yes,Pass,Yes
636,Jeanette Wankel,Data,12/07/2019,Yes,Yes,Fail,Yes
637,Giulietta Dissman,Data,25/07/2019,No,Yes,Fail,Yes
638,Joanna Thwaite,Business,06/07/2019,Yes,Yes,Pass,Yes
639,Salim Edmundson,Data,13/07/2019,Yes,No,Fail,Yes
640,Jan Manilo,Data,26/07/2019,Yes,Yes,Pass,Yes
641,Suzette Glander,Engineering,20/07/2019,Yes,Yes,Pass,Yes
642,Bambi See,Business,04/07/2019,Yes,Yes,Pass,Yes
643,Ainslee Paice,Engineering,18/07/2019,Yes,Yes,Fail,Yes
644,Fernanda Hendrich,Engineering,06/07/2019,Yes,No,Fail,Yes
645,Virge Insole,Engineering,20/07/2019,Yes,No,Fail,Yes
646,Kathy Meeking,Data,26/07/2019,Yes,Yes,Pass,Yes
647,Lind Ferebee,Business,25/07/2019,Yes,Yes,Pass,Yes
648,Aguie Morrad,Data,27/07/2019,Yes,Yes,Pass,Yes
649,Vania Ingray,Business,13/07/2019,Yes,Yes,Pass,Yes
650,Ola Robelet,Data,19/07/2019,No,Yes,Fail,Yes
651,Leoline Stelli,Data,19/07/2019,Yes,No,Fail,Yes
652,Malia Checcucci,Business,25/07/2019,Yes,Yes,Pass,Yes
653,Antoni Caney,Business,11/07/2019,Yes,Yes,Pass,Yes
654,Alanah Matfin,Business,27/07/2019,Yes,Yes,Pass,Yes
655,Nickolaus Jeacocke,Data,06/07/2019,Yes,Yes,Pass,Yes
656,Briano Nissle,Business,13/07/2019,Yes,Yes,Pass,Yes
657,Temple Plumridege,Business,20/07/2019,Yes,Yes,Pass,Yes
658,Adeline Ordidge,Data,19/07/2019,Yes,No,Fail,Yes
659,Stanleigh Huson,Engineering,19/07/2019,Yes,Yes,Pass,Yes
660,Lyell Sandell,Engineering,06/07/2019,Yes,Yes,Pass,Yes
661,Putnem Ericsson,Engineering,18/07/2019,Yes,Yes,Fail,Yes
662,Dodie Mcgowran,Engineering,27/07/2019,Yes,Yes,Pass,Yes
663,Freddie Ludlam,Data,05/07/2019,Yes,No,Fail,Yes
664,Fancie Coster,Business,25/07/2019,Yes,Yes,Pass,Yes
665,Abran Odams,Engineering,12/07/2019,Yes,No,Fail,No
666,Brod Blunden,Business,18/07/2019,Yes,Yes,Pass,Yes
667,Shel Bolzen,Data,25/07/2019,Yes,Yes,Pass,Yes
668,Matilda Mattiessen,Data,25/07/2019,Yes,Yes,Pass,Yes
669,Georgette Giacomo,Engineering,18/07/2019,Yes,Yes,Pass,Yes
670,Hanni Katt,Business,20/07/2019,Yes,Yes,Pass,Yes
671,Jeanne Brayne,Business,12/07/2019,Yes,Yes,Pass,Yes
672,Joana Frawley,Business,04/07/2019,Yes,Yes,Pass,Yes
673,Kingston Comsty,Data,06/07/2019,Yes,Yes,Pass,Yes
674,York Sygroves,Business,18/07/2019,Yes,No,Fail,Yes
675,Camel Miguet,Business,12/07/2019,Yes,Yes,Pass,Yes
676,Vina Fodden,Engineering,20/07/2019,Yes,Yes,Fail,Yes
677,Sawyere Paskell,Engineering,05/07/2019,Yes,Yes,Pass,Yes
678,Zeb Tippings,Engineering,12/07/2019,Yes,Yes,Pass,Yes
679,Nil Iacovo,Business,18/07/2019,Yes,Yes,Fail,Yes
680,Aurora Jimson,Engineering,27/07/2019,Yes,Yes,Pass,Yes
681,Helena Swire,Business,18/07/2019,Yes,Yes,Pass,Yes
682,Francklin Warrington,Data,25/07/2019,Yes,Yes,Pass,Yes
683,Dorene Franschini,Data,12/07/2019,Yes,Yes,Pass,Yes
684,Diana Webby,Business,11/07/2019,Yes,Yes,Fail,No
685,Ginevra Paice,Data,18/07/2019,Yes,No,Fail,Yes
686,Chane Wetwood,Engineering,18/07/2019,Yes,Yes,Pass,Yes
687,Barbra Polleye,Business,18/07/2019,Yes,Yes,Pass,Yes
688,Shelbi Waddingham,Engineering,18/07/2019,Yes,Yes,Pass,Yes
689,Lenora Gannicott,Engineering,19/07/2019,No,Yes,Fail,Yes
690,Aindrea Normanvill,Business,18/07/2019,Yes,Yes,Pass,Yes
691,Annamaria Redhole,Engineering,26/07/2019,Yes,No,Fail,Yes
692,Sarah Magor,Engineering,20/07/2019,Yes,Yes,Pass,Yes
693,Zacharie Bann,Data,27/07/2019,Yes,Yes,Pass,Yes
694,Vernon Curl,Data,04/07/2019,Yes,Yes,Pass,Yes
695,Savina Phythien,Data,27/07/2019,Yes,Yes,Pass,Yes
696,Cleveland Vasyukhin,Data,19/07/2019,Yes,Yes,Pass,Yes
697,Katherina Bowton,Business,26/07/2019,Yes,No,Fail,Yes
698,Giustina Catford,Engineering,06/07/2019,Yes,Yes,Pass,Yes
699,Fidel Norval,Engineering,19/07/2019,Yes,Yes,Fail,No
700,Fidel Norval,Engineering,19/07/2019,Yes,Yes,Fail,No
701,Kim Bester,Engineering,26/07/2019,Yes,Yes,Fail,Yes
702,Nomi Verne,Data,05/07/2019,Yes,Yes,Pass,Yes
703,Verla Di Antonio,Business,05/07/2019,Yes,Yes,Pass,Yes
704,Cherrita Allchorne,Engineering,26/07/2019,Yes,Yes,Fail,No
705,Charmain Diben,Engineering,12/07/2019,Yes,Yes,Pass,Yes
706,Hulda Bales,Data,25/07/2019,Yes,Yes,Fail,No
707,Bunny Barns,Engineering,13/07/2019,Yes,Yes,Pass,Yes
708,Malvina Whiteford,Data,11/07/2019,Yes,Yes,Pass,Yes
709,Elsie Fursland,Business,04/07/2019,Yes,Yes,Pass,Yes
710,Ebeneser Handy,Data,05/07/2019,Yes,Yes,Pass,Yes
711,Marvin Gorger,Business,19/07/2019,Yes,Yes,Pass,Yes
712,Rosalinde Smallshaw,Engineering,19/07/2019,Yes,Yes,Pass,Yes
713,Rosalinda Frizzell,Business,26/07/2019,Yes,Yes,Fail,Yes
714,Wade Friedenbach,Engineering,04/07/2019,Yes,Yes,Pass,Yes
715,Guido Lassells,Business,13/07/2019,Yes,Yes,Pass,Yes
716,Shelden Sheraton,Data,20/07/2019,Yes,Yes,Fail,No
717,Kacey Smurthwaite,Engineering,27/07/2019,Yes,Yes,Pass,Yes
718,Audrye Walkingshaw,Business,13/07/2019,Yes,Yes,Pass,Yes
719,Selle Mckeowon,Data,20/07/2019,Yes,Yes,Pass,Yes
720,Bird Hatfield,Engineering,20/07/2019,Yes,Yes,Pass,Yes
721,Briant Pope,Data,26/07/2019,Yes,Yes,Fail,Yes
722,Vladamir Waddams,Business,04/07/2019,Yes,Yes,Pass,Yes
723,Jecho Rousel,Engineering,05//07/2019,Yes,Yes,Pass,Yes
724,Ronda Budcock,Business,04/07/2019,Yes,Yes,Pass,Yes
725,Lexine Rapson,Business,18/07/2019,No,Yes,Fail,Yes
726,Osbourne Witherdon,Engineering,27/07/2019,Yes,Yes,Pass,Yes
727,Cati Dumphries,Data,18/07/2019,Yes,Yes,Pass,Yes
728,Jayne Andriveau,Business,11/07/2019,Yes,No,Fail,Yes
729,Elliot Sarsfield,Engineering,06/07/2019,Yes,Yes,Pass,Yes
730,Tate Coade,Data,06/07/2019,Yes,Yes,Fail,Yes
731,Emeline Whistance,Data,20/07/2019,Yes,Yes,Pass,Yes
732,Conrad Chadney,Business,06/07/2019,Yes,Yes,Fail,No
733,Staffard Load,Data,13/07/2019,Yes,Yes,Pass,Yes
734,Fraser Hurnell,Business,04/07/2019,Yes,Yes,Pass,Yes
735,Worthington Richford,Engineering,11/07/2019,Yes,Yes,Pass,Yes
736,Robenia Landor,Engineering,27/07/2019,Yes,Yes,Pass,Yes
737,Claudio Handrick,Data,05/07/2019,Yes,Yes,Pass,Yes
738,Nevil Rickerby,Data,06/07/2019,Yes,Yes,Pass,Yes
739,Prescott Alfuso,Engineering,25/07/2019,Yes,Yes,Pass,Yes
740,Herold Prudham,Data,06/07/2019,Yes,Yes,Pass,Yes
741,Shermy Swancock,Business,19/07/2019,Yes,Yes,Pass,Yes
742,Terrell Orridge,Engineering,18/07/2019,Yes,Yes,Pass,Yes
743,Donalt Julyan,Engineering,11/07/2019,Yes,Yes,Pass,Yes
744,Dev Mcpherson,Data,11/07/2019,Yes,Yes,Fail,No
745,Muhammad Percy,Engineering,12/07/2019,Yes,Yes,Fail,Yes
746,Judie Lowy,Engineering,25/07/2019,Yes,Yes,Pass,Yes
747,Tadio Goullee,Engineering,20/07/2019,Yes,Yes,Pass,Yes
748,Katalin Redley,Business,04/07/2019,Yes,Yes,Pass,Yes
